yl_t+60(mean),yl_t+1440(mean),yw_t+5(mean),yw_t+30(mean),ys_t+5(mean),ys_t+30(mean),ID,yl_t+60(U),yl_t+60(L),yl_t+1440(U),yl_t+1440(L),yw_t+5(U),yw_t+5(L),yw_t+30(U),yw_t+30(L),ys_t+5(U),ys_t+5(L),ys_t+30(U),ys_t+30(L)
0.83854824,0.8220775,-0.05370582,-0.05029288,0.059410937,0.11600923,482400,0.98678136,0.6903151,0.9859736,0.6581814,0.17160016,-0.27901182,0.18604784,-0.2866336,0.4209104,-0.30208853,0.53553104,-0.30351257
0.8382159,0.8218586,-0.05372677,-0.050326053,0.05927194,0.11589492,482401,0.986449,0.6899828,0.98575467,0.6579625,0.17157921,-0.27903277,0.18601467,-0.28666678,0.4207714,-0.30222753,0.5354167,-0.3036269
0.83788824,0.8216294,-0.05373129,-0.0503468,0.05917075,0.115821056,482402,0.98612136,0.6896551,0.9855255,0.6577333,0.1715747,-0.27903727,0.18599391,-0.28668752,0.4206702,-0.3023287,0.5353429,-0.30370075
0.8376372,0.82146376,-0.05372677,-0.050356247,0.059112396,0.11579428,482403,0.9858703,0.6894041,0.98535985,0.6575677,0.17157921,-0.27903277,0.18598446,-0.28669697,0.42061186,-0.30238706,0.5353161,-0.30372754
0.83742076,0.8213055,-0.053706434,-0.050343204,0.059086718,0.115798,482404,0.9856539,0.68918765,0.9852016,0.6574094,0.17159955,-0.2790124,0.18599752,-0.28668392,0.42058617,-0.30241275,0.5353198,-0.3037238
0.83729345,0.8212434,-0.05367963,-0.05032482,0.05909393,0.11582444,482405,0.98552656,0.68906033,0.9851395,0.6573473,0.17162636,-0.27898562,0.1860159,-0.28666553,0.42059338,-0.30240554,0.53534627,-0.30369738
0.83704907,0.821085,-0.05367131,-0.050322767,0.059032626,0.11577767,482406,0.9852822,0.68881595,0.98498106,0.6571889,0.17163467,-0.2789773,0.18601795,-0.28666347,0.42053208,-0.30246684,0.5352995,-0.30374414
0.8368668,0.820977,-0.053628687,-0.050292056,0.059021153,0.115791,482407,0.9850999,0.6886337,0.98487306,0.6570809,0.1716773,-0.2789347,0.18604866,-0.28663278,0.4205206,-0.3024783,0.53531283,-0.30373082
0.836671,0.8208615,-0.05360332,-0.05027121,0.058983453,0.115772866,482408,0.9849041,0.6884379,0.9847576,0.65696543,0.17170267,-0.27890933,0.1860695,-0.2866119,0.4204829,-0.302516,0.53529465,-0.30374894
0.836529,0.8207851,-0.053553816,-0.05023557,0.05901842,0.115837775,482409,0.98476213,0.6882959,0.9846812,0.656889,0.17175217,-0.2788598,0.18610515,-0.28657627,0.42051786,-0.30248106,0.53535956,-0.30368403
0.8363343,0.8206627,-0.053498972,-0.050186172,0.059047487,0.115887605,482410,0.9845674,0.6881012,0.98455876,0.6567666,0.17180702,-0.27880496,0.18615454,-0.2865269,0.42054695,-0.30245197,0.5354094,-0.3036342
0.83631516,0.82067984,-0.053385794,-0.050086036,0.05923828,0.116133906,482411,0.9845483,0.68808204,0.9845759,0.65678376,0.1719202,-0.27869177,0.18625468,-0.28642675,0.42073774,-0.30226117,0.53565574,-0.3033879
0.83607674,0.8205039,-0.053374395,-0.05008326,0.059204295,0.11611522,482412,0.98430985,0.6878436,0.9844,0.6566078,0.1719316,-0.27868038,0.18625745,-0.28642398,0.42070377,-0.30229515,0.535637,-0.3034066
0.83546335,0.82002574,-0.053562444,-0.050270695,0.058734633,0.115611576,482413,0.98369646,0.6872302,0.9839218,0.65612966,0.17174354,-0.27886844,0.18607002,-0.2866114,0.42023408,-0.30276483,0.53513336,-0.30391023
0.8356387,0.8201979,-0.053356115,-0.050077204,0.05911316,0.11605152,482414,0.9838718,0.6874056,0.98409396,0.6563018,0.17194988,-0.27866212,0.18626352,-0.28641793,0.42061263,-0.30238628,0.5355733,-0.30347028
0.8351902,0.8198534,-0.053460255,-0.05018463,0.05880741,0.11572194,482415,0.9834233,0.68695706,0.9837495,0.65595734,0.17184573,-0.27876624,0.1861561,-0.28652534,0.42030686,-0.30269206,0.53524375,-0.30379987
0.83519167,0.8198728,-0.05334297,-0.050079666,0.058994815,0.11595262,482416,0.9834248,0.68695855,0.9837689,0.6559767,0.17196302,-0.27864897,0.18626106,-0.28642038,0.42049426,-0.30250466,0.5354744,-0.3035692
0.8345925,0.8194216,-0.05352198,-0.050262686,0.058562197,0.115475304,482417,0.98282564,0.6863594,0.9833177,0.6555255,0.17178401,-0.27882797,0.18607803,-0.2866034,0.42006165,-0.30293727,0.5349971,-0.3040465
0.8347368,0.8195543,-0.053333517,-0.050089937,0.058895048,0.115873836,482418,0.98296994,0.6865037,0.9834504,0.65565825,0.17197247,-0.2786395,0.18625078,-0.28643066,0.4203945,-0.3026044,0.5353956,-0.30364797
0.8341852,0.8191233,-0.053471964,-0.050235365,0.058556188,0.11548864,482419,0.9824183,0.68595207,0.9830194,0.65522724,0.17183402,-0.27877796,0.18610536,-0.2865761,0.42005566,-0.30294326,0.53501046,-0.30403316
0.8343058,0.819233,-0.05330096,-0.050076175,0.058883466,0.11588848,482420,0.98253894,0.6860727,0.9831291,0.6553369,0.17200503,-0.27860695,0.18626454,-0.2864169,0.42038292,-0.302616,0.5354103,-0.30363333
0.8339072,0.81898844,-0.0533784,-0.05015505,0.058839317,0.11579155,482421,0.9821403,0.6856741,0.9828845,0.65509236,0.17192759,-0.27868438,0.18618566,-0.28649577,0.42033878,-0.30266014,0.53531337,-0.30373025
0.8337396,0.8188331,-0.053383842,-0.050168607,0.05866743,0.11567452,482422,0.9819727,0.68550646,0.9827292,0.654937,0.17192215,-0.27868983,0.18617211,-0.28650934,0.42016688,-0.30283204,0.5351963,-0.30384728
0.83344823,0.8186398,-0.053418044,-0.050205786,0.058630057,0.1156072,482423,0.98168135,0.6852151,0.9825359,0.65474373,0.17188795,-0.27872404,0.18613493,-0.2865465,0.4201295,-0.3028694,0.535129,-0.3039146
0.83362883,0.8188022,-0.053256903,-0.050058715,0.058796808,0.11585012,482424,0.98186195,0.6853957,0.98269826,0.6549061,0.17204909,-0.2785629,0.18628201,-0.28639942,0.42029625,-0.30270267,0.5353719,-0.3036717
0.8327828,0.8181297,-0.053516228,-0.0503165,0.058372494,0.115334235,482425,0.9810159,0.6845497,0.9820258,0.65423363,0.17178977,-0.2788222,0.18602422,-0.2866572,0.41987196,-0.30312696,0.534856,-0.30418757
0.83303154,0.8183609,-0.053336088,-0.050147966,0.05858427,0.1156202,482426,0.98126465,0.6847984,0.982257,0.65446484,0.1719699,-0.2786421,0.18619275,-0.28648868,0.42008373,-0.3029152,0.535142,-0.3039016
0.8321329,0.8176429,-0.053641014,-0.05045464,0.058070894,0.115006186,482427,0.980366,0.68389976,0.981539,0.65374684,0.17166498,-0.278947,0.18588609,-0.28679535,0.41957036,-0.30342856,0.534528,-0.30451563
0.83272845,0.8181261,-0.053293362,-0.050124858,0.05865388,0.11570194,482428,0.98096156,0.68449533,0.98202217,0.65423,0.17201263,-0.27859935,0.18621586,-0.2864656,0.42015335,-0.30284557,0.5352237,-0.30381986
0.8321143,0.8176303,-0.053491786,-0.05031753,0.05832201,0.11532068,482429,0.9803474,0.68388116,0.9815264,0.6537342,0.1718142,-0.27879778,0.18602319,-0.28665826,0.41982147,-0.30317745,0.5348425,-0.30420113
0.83231604,0.8178194,-0.053289972,-0.05013749,0.058648195,0.11570752,482430,0.98054916,0.6840829,0.9817155,0.65392333,0.17201602,-0.27859595,0.18620323,-0.28647822,0.42014766,-0.30285126,0.5352293,-0.3038143
0.8318536,0.8174502,-0.053375833,-0.050228894,0.05853029,0.11554983,482431,0.98008674,0.6836205,0.9813463,0.65355414,0.17193016,-0.2786818,0.18611182,-0.2865696,0.42002976,-0.30296916,0.5350716,-0.30397198
0.8320876,0.8176422,-0.053151015,-0.050024517,0.05884784,0.115947925,482432,0.9803207,0.68385446,0.9815383,0.6537461,0.17215498,-0.27845702,0.18631619,-0.28636524,0.4203473,-0.3026516,0.5354697,-0.30357388
0.83177686,0.81739277,-0.053279087,-0.050152585,0.058627434,0.11568555,482433,0.98001,0.68354374,0.98128885,0.6534967,0.1720269,-0.27858508,0.18618813,-0.2864933,0.4201269,-0.30287203,0.5352074,-0.30383626
