yl_t+60(mean),yl_t+1440(mean),yw_t+5(mean),yw_t+30(mean),ys_t+5(mean),ys_t+30(mean),ID,yl_t+60(U),yl_t+60(L),yl_t+1440(U),yl_t+1440(L),yw_t+5(U),yw_t+5(L),yw_t+30(U),yw_t+30(L),ys_t+5(U),ys_t+5(L),ys_t+30(U),ys_t+30(L)
0.89821905,0.92006844,0.031069556,0.03973691,0.10729508,0.17540091,480960,1.0445907,0.7518474,1.1131185,0.72701836,0.18776774,-0.12562862,0.20381409,-0.124340266,0.33626485,-0.1216747,0.42907366,-0.078271836
0.89806986,0.9200593,0.031160038,0.039784726,0.10745812,0.17556986,480961,1.0444415,0.7516982,1.1131095,0.7270092,0.18785822,-0.12553814,0.2038619,-0.12429245,0.3364279,-0.12151166,0.4292426,-0.07810289
0.89791113,0.92004246,0.03125412,0.039837472,0.10754947,0.175661,480962,1.0442828,0.75153947,1.1130925,0.72699237,0.18795231,-0.12544405,0.20391464,-0.124239706,0.33651924,-0.12142031,0.42933375,-0.07801175
0.89775497,0.920044,0.031367633,0.039906774,0.1077371,0.17585868,480963,1.0441266,0.7513833,1.1130941,0.7269939,0.18806581,-0.12533055,0.20398395,-0.12417041,0.33670688,-0.12123268,0.42953143,-0.07781407
0.89764327,0.9200801,0.031470146,0.039972268,0.10792232,0.17605548,480964,1.0440149,0.7512716,1.1131302,0.72703004,0.18816833,-0.12522803,0.20404944,-0.12410491,0.3368921,-0.12104746,0.4297282,-0.07761727
0.8974978,0.9200739,0.031561654,0.04001751,0.10807028,0.17620103,480965,1.0438694,0.7511261,1.113124,0.72702384,0.18825984,-0.12513652,0.2040947,-0.12405966,0.33704007,-0.120899506,0.42987376,-0.07747172
0.8973839,0.9201073,0.031669203,0.040090617,0.10824315,0.17636691,480966,1.0437555,0.75101227,1.1131574,0.7270572,0.18836738,-0.12502898,0.2041678,-0.12398656,0.33721292,-0.12072663,0.43003964,-0.07730584
0.8971877,0.9200514,0.031745397,0.0401193,0.108469464,0.17656535,480967,1.0435593,0.75081605,1.1131015,0.7270013,0.18844357,-0.124952786,0.20419648,-0.12395787,0.33743924,-0.12050032,0.4302381,-0.0771074
0.8970673,0.9200902,0.031864565,0.040203102,0.10870036,0.1768038,480968,1.0434389,0.75069565,1.1131403,0.72704005,0.18856275,-0.12483361,0.20428029,-0.123874076,0.33767015,-0.120269425,0.43047655,-0.07686895
0.8969657,0.9201258,0.031998232,0.040292967,0.10897224,0.17708933,480969,1.0433373,0.750594,1.1131759,0.7270757,0.18869641,-0.12469995,0.20437014,-0.123784214,0.337942,-0.119997546,0.43076208,-0.076583415
0.896828,0.92013645,0.032105267,0.04035867,0.109147735,0.17727466,480970,1.0431997,0.75045633,1.1131866,0.7270863,0.18880345,-0.124592915,0.20443586,-0.12371851,0.3381175,-0.11982205,0.43094742,-0.07639809
0.8968128,0.92034936,0.032360878,0.040576752,0.10994795,0.17809269,480971,1.0431844,0.75044113,1.1133995,0.7272992,0.18905906,-0.1243373,0.20465393,-0.12350042,0.33891773,-0.11902183,0.43176544,-0.07558006
0.89659953,0.9202202,0.0323982,0.040571097,0.109768085,0.17793478,480972,1.0429711,0.75022787,1.1132703,0.7271701,0.18909639,-0.12429998,0.20464827,-0.123506084,0.33873788,-0.1192017,0.43160754,-0.07573797
0.8964793,0.9203128,0.032579064,0.04069859,0.11027567,0.17842226,480973,1.042851,0.75010765,1.1133629,0.72726274,0.18927725,-0.12411912,0.20477577,-0.12337859,0.33924544,-0.11869411,0.432095,-0.07525049
0.8964383,0.92046356,0.032768253,0.040857658,0.11098617,0.17916435,480974,1.04281,0.75006664,1.1135137,0.7274134,0.18946643,-0.12392993,0.20493484,-0.12321952,0.33995596,-0.11798361,0.4328371,-0.0745084
0.8963365,0.9205018,0.032891434,0.04094701,0.11128341,0.17948726,480975,1.0427082,0.74996483,1.113552,0.7274517,0.18958962,-0.123806745,0.20502418,-0.12313017,0.34025317,-0.117686376,0.43316,-0.07418549
0.89625746,0.920592,0.03305728,0.04107584,0.11167166,0.17990327,480976,1.0426291,0.7498858,1.1136421,0.7275419,0.18975547,-0.1236409,0.20515302,-0.12300134,0.34064144,-0.117298126,0.43357602,-0.07376948
0.8962064,0.92077655,0.033221282,0.041218966,0.11244325,0.18071857,480977,1.042578,0.7498347,1.1138266,0.72772646,0.18991947,-0.1234769,0.20529614,-0.12285821,0.34141302,-0.11652653,0.43439132,-0.07295418
