yl_t+60(mean),yl_t+1440(mean),yw_t+5(mean),yw_t+30(mean),ys_t+5(mean),ys_t+30(mean),ID,yl_t+60(U),yl_t+60(L),yl_t+1440(U),yl_t+1440(L),yw_t+5(U),yw_t+5(L),yw_t+30(U),yw_t+30(L),ys_t+5(U),ys_t+5(L),ys_t+30(U),ys_t+30(L)
0.80626553,0.79827327,0.0028921145,-0.007325135,0.14791265,0.1685156,482400,0.95684856,0.6556825,0.96598494,0.6305616,0.20779711,-0.20201287,0.20910022,-0.2237505,0.5117339,-0.21590862,0.5875801,-0.25054893
0.80645216,0.7984935,0.0030763645,-0.0071740584,0.14830779,0.16886747,482401,0.9570352,0.6558691,0.9662052,0.6307818,0.20798135,-0.20182863,0.2092513,-0.22359942,0.51212907,-0.21551348,0.587932,-0.25019705
0.80667484,0.7987675,0.0032547605,-0.0070296573,0.1487297,0.1692625,482402,0.95725787,0.6560918,0.9664792,0.63105583,0.20815974,-0.20165023,0.2093957,-0.22345501,0.51255095,-0.21509157,0.58832705,-0.24980202
0.8068374,0.798964,0.003447535,-0.0068597854,0.1491386,0.16962846,482403,0.9574204,0.65625435,0.9666757,0.63125235,0.20835252,-0.20145746,0.20956558,-0.22328514,0.51295984,-0.21468267,0.58869296,-0.24943607
0.8070749,0.7992286,0.0036365094,-0.0066970005,0.14959756,0.17006414,482404,0.95765793,0.6564919,0.9669403,0.63151693,0.2085415,-0.20126848,0.20972836,-0.22312236,0.5134188,-0.21422371,0.5891287,-0.24900039
0.8073242,0.7995095,0.0038269216,-0.006526821,0.15003641,0.17046136,482405,0.9579072,0.65674114,0.9672212,0.63179785,0.2087319,-0.20107807,0.20989853,-0.22295219,0.51385766,-0.21378486,0.5895259,-0.24860317
0.8075628,0.7998072,0.004037156,-0.006343598,0.15050979,0.17091769,482406,0.95814586,0.6569798,0.96751887,0.6320955,0.20894215,-0.20086783,0.21008176,-0.22276896,0.51433104,-0.21331148,0.5899822,-0.24814683
0.8077927,0.8000496,0.0042019947,-0.006186051,0.15092635,0.17130715,482407,0.95837575,0.6572097,0.9677613,0.6323379,0.20910698,-0.200703,0.2102393,-0.22261141,0.5147476,-0.21289492,0.59037167,-0.24775738
0.80803406,0.80032164,0.0044154124,-0.005997282,0.15141317,0.17175713,482408,0.9586171,0.65745103,0.9680333,0.63260996,0.2093204,-0.20048958,0.21042807,-0.22242264,0.5152345,-0.2124081,0.5908216,-0.24730739
0.8082546,0.8005624,0.0045685433,-0.0058512376,0.15181945,0.17213196,482409,0.9588376,0.6576716,0.96827406,0.6328507,0.20947354,-0.20033644,0.21057412,-0.2222766,0.51564074,-0.21200182,0.5911965,-0.24693257
0.80852014,0.8008612,0.0047755935,-0.005672328,0.15229556,0.17258763,482410,0.95910317,0.6579371,0.96857285,0.6331495,0.20968059,-0.20012939,0.21075302,-0.2220977,0.51611686,-0.21152571,0.59165215,-0.24647689
0.8088283,0.8011617,0.004958714,-0.0055093374,0.1527378,0.1730244,482411,0.9594113,0.65824527,0.9688734,0.63345003,0.2098637,-0.19994627,0.21091603,-0.22193469,0.51655906,-0.21108347,0.59208894,-0.24604012
0.80903405,0.8013987,0.0051372126,-0.00534152,0.15314835,0.17341222,482412,0.9596171,0.658451,0.96911037,0.633687,0.21004221,-0.19976777,0.21108384,-0.22176687,0.5169696,-0.21067291,0.5924767,-0.2456523
0.80921304,0.8015918,0.005263743,-0.0052274168,0.15346208,0.17370617,482413,0.9597961,0.65863,0.9693035,0.63388014,0.21016873,-0.19964124,0.21119794,-0.22165278,0.5172833,-0.21035919,0.5927707,-0.24535835
0.80941314,0.8018284,0.005432382,-0.005089486,0.15384214,0.1740635,482414,0.95999616,0.6588301,0.96954006,0.6341167,0.21033737,-0.1994726,0.21133587,-0.22151485,0.5176634,-0.20997913,0.593128,-0.24500102
0.80967414,0.8020934,0.0056126267,-0.004915609,0.15426601,0.17448902,482415,0.9602572,0.6590911,0.96980506,0.6343817,0.21051762,-0.19929236,0.21150975,-0.22134097,0.51808727,-0.20955525,0.59355354,-0.2445755
0.80983835,0.80228144,0.005735871,-0.004810338,0.15455243,0.17475161,482416,0.9604214,0.6592553,0.9699931,0.63456976,0.21064086,-0.19916911,0.21161503,-0.22123569,0.5183737,-0.20926884,0.59381616,-0.24431291
0.8099951,0.80246425,0.00588438,-0.0046801097,0.1548973,0.1750661,482417,0.96057814,0.6594121,0.9701759,0.6347526,0.21078937,-0.19902061,0.21174525,-0.22110547,0.5187186,-0.20892397,0.59413064,-0.24399842
0.8101723,0.80266327,0.006025803,-0.0045425897,0.15525703,0.17540058,482418,0.96075535,0.6595893,0.97037494,0.6349516,0.2109308,-0.19887918,0.21188277,-0.22096795,0.5190783,-0.20856424,0.59446514,-0.24366394
0.8103029,0.80281717,0.006140112,-0.004443481,0.15552235,0.1756411,482419,0.96088594,0.6597199,0.97052884,0.6351055,0.2110451,-0.19876488,0.21198188,-0.22086884,0.5193436,-0.20829892,0.59470564,-0.24342342
0.8104794,0.8030133,0.006300227,-0.0043085287,0.15589006,0.1759921,482420,0.96106243,0.6598964,0.970725,0.63530165,0.21120521,-0.19860476,0.21211684,-0.22073388,0.5197113,-0.2079312,0.59505665,-0.24307242
0.810625,0.8031844,0.0064159734,-0.004198225,0.15616292,0.17624725,482421,0.96120805,0.660042,0.97089607,0.6354727,0.21132097,-0.19848901,0.21222714,-0.22062358,0.5199842,-0.20765835,0.59531176,-0.24281727
0.81078196,0.8033544,0.006556369,-0.0040712836,0.15651172,0.17656633,482422,0.961365,0.6601989,0.97106606,0.6356427,0.21146135,-0.19834863,0.21235408,-0.22049664,0.520333,-0.20730954,0.5956309,-0.24249819
0.8110314,0.8035946,0.006718743,-0.0039274986,0.15686075,0.17691153,482423,0.96161443,0.6604484,0.97130626,0.6358829,0.21162373,-0.19818625,0.21249786,-0.22035286,0.52068204,-0.20696051,0.59597605,-0.24215299
0.8111369,0.8037281,0.0068239113,-0.0038434872,0.1571206,0.17715478,482424,0.96171993,0.6605539,0.9714398,0.6360164,0.2117289,-0.19808108,0.21258187,-0.22026885,0.52094185,-0.20670067,0.5962193,-0.24190974
0.81130034,0.8039054,0.0069199395,-0.0037537245,0.15736374,0.1773835,482425,0.96188337,0.6607173,0.9716171,0.63619375,0.21182492,-0.19798505,0.21267164,-0.22017908,0.52118504,-0.20645753,0.596448,-0.24168102
0.81151205,0.80412567,0.0070812865,-0.0036077828,0.15772818,0.17774759,482426,0.9620951,0.660929,0.97183734,0.636414,0.21198627,-0.1978237,0.21281758,-0.22003314,0.52154946,-0.20609309,0.5968121,-0.24131693
0.811632,0.8042409,0.0071465033,-0.0035499607,0.1579159,0.17790091,482427,0.962215,0.66104895,0.97195256,0.6365292,0.2120515,-0.19775848,0.2128754,-0.21997532,0.52173716,-0.20590536,0.59696543,-0.24116361
0.81182367,0.80443233,0.0072735474,-0.003430311,0.15822789,0.17821245,482428,0.9624067,0.66124064,0.972144,0.63672066,0.21217853,-0.19763145,0.21299505,-0.21985567,0.5220492,-0.20559338,0.597277,-0.24085207
0.81183124,0.80449337,0.007347802,-0.0033845054,0.15837027,0.17831223,482429,0.96241426,0.6612482,0.97220504,0.6367817,0.2122528,-0.19755718,0.21304086,-0.21980986,0.5221915,-0.205451,0.59737676,-0.2407523
0.81195873,0.8046244,0.0074104513,-0.0033213429,0.15856522,0.17850892,482430,0.96254176,0.6613757,0.97233605,0.6369127,0.21231544,-0.19749454,0.21310401,-0.21974671,0.5223865,-0.20525604,0.59757346,-0.2405556
0.8121421,0.80478925,0.007559063,-0.0031840282,0.1588924,0.17882866,482431,0.9627251,0.66155905,0.9725009,0.63707757,0.21246405,-0.19734593,0.21324132,-0.2196094,0.52271366,-0.20492887,0.5978932,-0.24023587
0.8121735,0.8048509,0.0076084635,-0.0031507523,0.15899424,0.17891586,482432,0.9627565,0.66159046,0.97256255,0.6371392,0.21251345,-0.19729653,0.21327461,-0.2195761,0.5228155,-0.20482703,0.5979804,-0.24014866
0.8122743,0.80496484,0.0076967883,-0.0030723896,0.15920481,0.17910413,482433,0.9628573,0.66169125,0.9726765,0.63725317,0.21260178,-0.1972082,0.21335296,-0.21949776,0.5230261,-0.20461646,0.5981687,-0.23996039
0.81236625,0.80505735,0.0077588214,-0.0030188812,0.15937124,0.17926532,482434,0.9629493,0.6617832,0.972769,0.6373457,0.21266381,-0.19714616,0.21340647,-0.21944425,0.5231925,-0.20445003,0.59832984,-0.2397992
0.8120254,0.80476725,0.007763443,-0.0030105622,0.1592672,0.1791261,482435,0.96260846,0.6614424,0.9724789,0.6370556,0.21266843,-0.19714154,0.2134148,-0.21943592,0.52308846,-0.20455407,0.5981906,-0.23993842
0.81218165,0.8049457,0.007844681,-0.002940313,0.15950182,0.17936935,482436,0.9627647,0.6615986,0.9726574,0.63723403,0.21274967,-0.1970603,0.21348505,-0.21936567,0.52332306,-0.20431945,0.59843385,-0.23969518
0.81203264,0.8048355,0.007877855,-0.0029172048,0.15948237,0.17933767,482437,0.96261567,0.6614496,0.9725472,0.6371238,0.21278284,-0.19702713,0.21350816,-0.21934256,0.5233036,-0.2043389,0.5984022,-0.23972686
0.8120789,0.8048796,0.007964022,-0.0028261067,0.15961088,0.17949326,482438,0.9626619,0.66149586,0.9725913,0.63716793,0.21286902,-0.19694096,0.21359925,-0.21925147,0.52343214,-0.20421039,0.5985578,-0.23957126
0.81227016,0.8050407,0.008105548,-0.0026856083,0.1598245,0.17978765,482439,0.9628532,0.66168714,0.9727524,0.63732904,0.21301053,-0.19679944,0.21373975,-0.21911097,0.52364576,-0.20399676,0.59885216,-0.23927687
